category,content
GIT,"Q1. error: src refspec master does not match any error: failed to push some refs to 'https://github.com/username/repository.git' 이런 경우 어떻게 해결해야 하나요? 답변: 이 오류는 로컬 브랜치 이름이 원격 브랜치 이름과 일치하지 않을 때 발생합니다. 로컬 브랜치가 존재하는지 확인하고, 'git push origin main'처럼 정확한 브랜치 이름을 사용해 보세요."
GIT,"Q2. 깃에서 브랜치를 생성하고 전환하는 방법은 무엇인가요? 답변: 새로운 브랜치를 생성하려면 'git branch 브랜치이름'을 사용하고, 해당 브랜치로 전환하려면 'git checkout 브랜치이름'을 사용하세요. 생성과 동시에 전환하려면 'git checkout -b 브랜치이름'을 사용하면 됩니다."
GIT,"Q3. 깃 허브 원격저장소에서 변경 사항을 가져오는 방법은 무엇인가요? 답변: 'git pull' 명령어를 사용하면 원격 저장소에서 변경된 사항을 가져와 로컬 저장소와 병합할 수 있습니다. 'git fetch'는 변경 사항을 가져오기만 하고, 병합은 수동으로 'git merge'를 사용하여 진행할 수 있습니다."
GIT,"Q4. HEAD는 무엇을 의미하나요? 답변: HEAD는 현재 작업 중인 브랜치를 가리키는 포인터입니다. HEAD는 항상 작업 트리의 가장 최근 커밋을 가리킵니다. 새로운 커밋을 만들면 HEAD가 그 커밋을 가리키도록 업데이트됩니다."
GIT,"Q5. 깃에서 커밋 메시지를 수정할 수 있나요? 답변: 가능합니다. 'git commit --amend' 명령어를 사용하여 마지막 커밋 메시지를 수정할 수 있습니다. 하지만 이미 원격 저장소에 푸시한 커밋 메시지를 수정하는 것은 권장되지 않습니다."
GIT,"Q6. push/pull을 잘못하여 브랜치에 이상한 병합이 발생했습니다. 어떻게 해결하나요? 답변: 잘못된 병합을 되돌리기 위해 'git reset --hard' 또는 'git revert' 명령어를 사용할 수 있습니다. 'git reset'은 특정 커밋으로 되돌아가고 이후의 변경 사항을 삭제하며, 'git revert'는 잘못된 커밋을 취소하는 새로운 커밋을 만듭니다."
GIT,"Q7. 파일을 변경하고 저장한 후 커밋을 하려고 하면 'There are no staged changes to commit'이라는 메시지가 뜹니다. 어떻게 해결하나요? 답변: 변경된 파일을 스테이징 영역에 추가해야 합니다. 'git add 파일명' 명령어를 사용하여 파일을 스테이징한 후 커밋을 진행하세요."
GIT,"Q8. 'fatal: remote origin already exists.' 오류가 발생합니다. 해결 방법은? 답변: 'git remote add origin' 명령어를 사용했을 때 이미 origin이 존재하면 발생하는 오류입니다. 'git remote set-url origin URL'을 사용하여 원격 저장소 URL을 업데이트하세요."
GIT,"Q9. 'Permission denied (publickey)' 오류가 발생합니다. 해결 방법은? 답변: 이 오류는 SSH 키 인증 문제로 발생합니다. 로컬 머신에 SSH 키가 설정되어 있는지 확인하고, GitHub 계정에 SSH 키를 추가하세요. 'ssh-keygen' 명령어로 새 키를 생성할 수 있습니다."
GIT,"Q10. Git에서 변경 사항을 무시하고 싶을 때는 어떻게 하나요? 답변: 특정 파일이나 디렉토리를 Git이 추적하지 않도록 하려면 .gitignore 파일에 해당 파일이나 디렉토리를 추가하세요. 이미 추적 중인 파일을 무시하려면 'git rm --cached 파일명'을 사용하세요."
GIT,"Q11. 이전 커밋으로 되돌아가고 싶은데, 어떻게 하나요? 답변: 'git checkout 커밋해시'를 사용하여 이전 커밋으로 이동할 수 있습니다. 작업 트리를 완전히 되돌리고 싶다면 'git reset --hard 커밋해시'를 사용하세요. 주의: 'reset --hard'는 이후의 모든 변경 사항을 삭제합니다."
GIT,"Q12. 'git stash'는 무엇인가요? 답변: 'git stash'는 작업 중인 변경 사항을 임시로 저장하고, 깨끗한 작업 트리로 돌아갈 수 있게 합니다. 'git stash apply'를 사용하여 저장된 변경 사항을 다시 적용할 수 있습니다."
GIT,"Q13. 'git rebase'와 'git merge'의 차이는 무엇인가요? 답변: 'git merge'는 두 브랜치를 병합하여 새로운 커밋을 만듭니다. 'git rebase'는 현재 브랜치의 기반을 다른 브랜치의 최신 커밋으로 재조정하여 병합 커밋 없이 병합합니다. 리베이스는 히스토리를 깔끔하게 유지하는 데 유용합니다."
GIT,"Q14. 로컬에서 커밋을 되돌리려면 어떻게 하나요? 답변: 'git reset'을 사용하여 커밋을 되돌릴 수 있습니다. 'git reset --soft HEAD~1'은 마지막 커밋을 되돌리고, 변경 사항을 스테이징 상태로 유지합니다. 'git reset --hard HEAD~1'은 마지막 커밋을 되돌리고, 변경 사항을 모두 삭제합니다."
GIT,"Q15. 'git diff'는 무엇을 하나요? 답변: 'git diff'는 워킹 디렉토리와 스테이징 영역 간의 차이, 또는 두 커밋 간의 차이를 보여줍니다. 예를 들어, 'git diff HEAD'는 마지막 커밋과 워킹 디렉토리의 차이를 보여줍니다."
GIT,"Q16. 브랜치를 삭제하는 방법은? 답변: 로컬 브랜치를 삭제하려면 'git branch -d 브랜치이름'을 사용하세요. 원격 브랜치를 삭제하려면 'git push origin --delete 브랜치이름'을 사용하세요."
GIT,"Q17. 'git log' 명령어는 어떤 정보를 제공하나요? 답변: 'git log'는 저장소의 커밋 히스토리를 보여줍니다. 각 커밋의 해시, 작성자, 날짜, 커밋 메시지를 확인할 수 있습니다. 'git log --oneline'을 사용하면 간략하게 표시됩니다."
GIT,"Q18. 'git clone'은 무엇을 하나요? 답변: 'git clone'은 원격 저장소의 전체 내용을 로컬에 복제합니다. 이 명령어는 원격 저장소의 모든 파일과 히스토리를 포함한 새로운 디렉토리를 생성합니다."
GIT,"Q19. 원격 브랜치와 로컬 브랜치를 동기화하려면 어떻게 하나요? 답변: 'git fetch'로 원격 브랜치의 변경 사항을 가져오고, 'git merge origin/브랜치이름'으로 로컬 브랜치에 병합합니다. 'git pull'은 이 두 과정을 한 번에 수행합니다."
GIT,"Q20. 깃에서 충돌(conflict)을 해결하는 방법은 무엇인가요? 답변: 충돌이 발생하면 Git은 충돌이 발생한 파일을 표시합니다. 파일을 열어 충돌 부분을 수동으로 수정한 후 'git add 파일명'으로 스테이징하고, 'git commit'으로 커밋하여 충돌을 해결할 수 있습니다."

Pandas,"Q1. Pandas에서 데이터프레임을 생성하는 방법은 무엇인가요? 답변: pd.DataFrame() 함수를 사용하여 데이터프레임을 생성할 수 있습니다. 예를 들어, 'df = pd.DataFrame(data)' 형식으로 사용할 수 있습니다. data는 리스트, 딕셔너리, numpy 배열 등을 포함할 수 있습니다."
Pandas,"Q2. CSV 파일을 읽어들이는 방법은 무엇인가요? 답변: pd.read_csv() 함수를 사용하여 CSV 파일을 읽어들일 수 있습니다. 예를 들어, 'df = pd.read_csv('파일명.csv')'와 같이 사용합니다. 추가 옵션으로 구분자, 인코딩, 특정 열만 읽기 등의 설정이 가능합니다."
Pandas,"Q3. 데이터프레임에서 특정 열을 선택하는 방법은? 답변: 데이터프레임에서 특정 열을 선택하려면 대괄호([])를 사용합니다. 예를 들어, 'df['열이름']' 또는 'df[['열1', '열2']]'와 같이 여러 열을 선택할 수 있습니다."
Pandas,"Q4. 데이터프레임의 행을 필터링하는 방법은? 답변: 조건식을 사용하여 데이터프레임의 행을 필터링할 수 있습니다. 예를 들어, 'df[df['열이름'] > 값]'과 같이 조건을 만족하는 행을 선택할 수 있습니다."
Pandas,"Q5. 데이터프레임에서 결측치를 처리하는 방법은? 답변: 결측치를 처리하는 방법은 여러 가지가 있습니다. 'df.dropna()'를 사용하여 결측치가 있는 행을 삭제하거나, 'df.fillna(값)'을 사용하여 결측치를 특정 값으로 대체할 수 있습니다."
Pandas,"Q6. 데이터프레임을 정렬하는 방법은? 답변: 'df.sort_values()' 함수를 사용하여 데이터프레임을 정렬할 수 있습니다. 예를 들어, 'df.sort_values(by='열이름', ascending=True)'는 지정한 열을 기준으로 오름차순 정렬합니다."
Pandas,"Q7. 데이터프레임에서 중복된 행을 제거하는 방법은? 답변: 'df.drop_duplicates()' 함수를 사용하여 중복된 행을 제거할 수 있습니다. 특정 열을 기준으로 중복을 제거하려면 'subset' 옵션을 사용할 수 있습니다. 예를 들어, 'df.drop_duplicates(subset=['열이름'])'과 같이 사용합니다."
Pandas,"Q8. 데이터프레임의 행과 열을 전치(transpose)하는 방법은? 답변: 'df.T' 속성을 사용하여 데이터프레임의 행과 열을 전치할 수 있습니다. 예를 들어, 'df_transposed = df.T'와 같이 사용합니다."
Pandas,"Q9. 데이터프레임의 특정 열을 새로운 데이터프레임으로 복사하는 방법은? 답변: 새로운 데이터프레임을 생성하려면, 'df_new = df[['열이름1', '열이름2']].copy()'와 같이 사용합니다. copy() 메서드는 원본 데이터프레임과 독립적인 복사본을 만듭니다."
Pandas,"Q10. 데이터프레임에서 열의 데이터 타입을 변경하는 방법은? 답변: 'df['열이름'] = df['열이름'].astype(타입)'을 사용하여 열의 데이터 타입을 변경할 수 있습니다. 예를 들어, 'df['열이름'] = df['열이름'].astype(int)'와 같이 사용합니다."
Pandas,"Q11. 데이터프레임에서 그룹별로 집계하는 방법은? 답변: 'df.groupby('열이름').agg({집계함수})'를 사용하여 그룹별로 집계할 수 있습니다. 예를 들어, 'df.groupby('열이름').agg({'다른열': 'sum'})'은 지정한 열을 기준으로 그룹화하고, 다른 열의 값을 합산합니다."
Pandas,"Q12. 데이터프레임에서 새로운 열을 추가하는 방법은? 답변: 'df['새로운열'] = 값'을 사용하여 새로운 열을 추가할 수 있습니다. 값은 고정 값, 계산된 값 또는 다른 열의 값 등을 사용할 수 있습니다."
Pandas,"Q13. 데이터프레임을 피벗(pivot)하는 방법은? 답변: 'df.pivot_table()' 함수를 사용하여 데이터를 피벗할 수 있습니다. 예를 들어, 'df.pivot_table(index='행이름', columns='열이름', values='값', aggfunc='mean')'와 같이 사용합니다."
Pandas,"Q14. 데이터프레임에서 조건에 따라 값을 대체하는 방법은? 답변: 'df.loc[조건, '열이름'] = 새로운값'을 사용하여 조건에 따라 값을 대체할 수 있습니다. 예를 들어, 'df.loc[df['열이름'] > 값, '열이름'] = 새로운값'과 같이 사용합니다."
Pandas,"Q15. 데이터프레임에서 열의 이름을 변경하는 방법은? 답변: 'df.rename(columns={'기존열이름': '새열이름'})'을 사용하여 열의 이름을 변경할 수 있습니다. 예를 들어, 'df.rename(columns={'old_name': 'new_name'})'와 같이 사용합니다."
Pandas,"Q16. 데이터프레임을 결합하는 방법은? 답변: 'pd.concat()' 함수를 사용하여 데이터프레임을 결합할 수 있습니다. 예를 들어, 'df_combined = pd.concat([df1, df2], axis=0)'은 두 데이터프레임을 행 방향으로 결합합니다."
Pandas,"Q17. 데이터프레임을 병합(merge)하는 방법은? 답변: 'pd.merge()' 함수를 사용하여 데이터프레임을 병합할 수 있습니다. 예를 들어, 'df_merged = pd.merge(df1, df2, on='공통열', how='inner')'와 같이 사용합니다."
Pandas,"Q18. 데이터프레임에서 특정 값의 개수를 세는 방법은? 답변: 'df['열이름'].value_counts()'를 사용하여 특정 값의 개수를 셀 수 있습니다. 예를 들어, 'df['열이름'].value_counts()'는 열에 있는 각 값의 빈도를 반환합니다."
Pandas,"Q19. 데이터프레임에서 문자열을 다루는 방법은? 답변: 'df['열이름'].str' 속성을 사용하여 문자열을 다룰 수 있습니다. 예를 들어, 'df['열이름'].str.contains('문자열')'은 열에 문자열이 포함된 행을 필터링합니다."
Pandas,"Q20. 데이터프레임을 엑셀 파일로 저장하는 방법은? 답변: 'df.to_excel('파일명.xlsx', index=False)'를 사용하여 데이터프레임을 엑셀 파일로 저장할 수 있습니다. index=False 옵션은 인덱스를 파일에 저장하지 않도록 합니다."

Data Visualization,"Q1. Matplotlib에서 기본적인 라인 그래프를 그리는 방법은? 답변: plt.plot() 함수를 사용하여 라인 그래프를 그릴 수 있습니다. 예를 들어, 'plt.plot(x, y)'와 같이 사용합니다. x와 y는 각각의 데이터입니다."
Data Visualization,"Q2. Seaborn에서 기본적인 산점도를 그리는 방법은? 답변: sns.scatterplot() 함수를 사용하여 산점도를 그릴 수 있습니다. 예를 들어, 'sns.scatterplot(x='x_col', y='y_col', data=df)'와 같이 사용합니다. df는 데이터프레임입니다."
Data Visualization,"Q3. Matplotlib에서 그래프의 제목과 축 레이블을 추가하는 방법은? 답변: plt.title(), plt.xlabel(), plt.ylabel() 함수를 사용하여 그래프의 제목과 축 레이블을 추가할 수 있습니다. 예를 들어, 'plt.title('Title')', 'plt.xlabel('X Axis')', 'plt.ylabel('Y Axis')'와 같이 사용합니다."
Data Visualization,"Q4. Seaborn에서 히스토그램을 그리는 방법은? 답변: sns.histplot() 함수를 사용하여 히스토그램을 그릴 수 있습니다. 예를 들어, 'sns.histplot(data=df, x='column_name')'와 같이 사용합니다."
Data Visualization,"Q5. Matplotlib에서 여러 개의 플롯을 하나의 그림에 그리는 방법은? 답변: plt.subplot() 함수를 사용하여 여러 개의 플롯을 하나의 그림에 그릴 수 있습니다. 예를 들어, 'plt.subplot(2, 1, 1)'와 같이 사용하여 2행 1열의 첫 번째 플롯을 그릴 수 있습니다."
Data Visualization,"Q6. Seaborn에서 박스플롯을 그리는 방법은? 답변: sns.boxplot() 함수를 사용하여 박스플롯을 그릴 수 있습니다. 예를 들어, 'sns.boxplot(x='category', y='value', data=df)'와 같이 사용합니다."
Data Visualization,"Q7. Matplotlib에서 막대 그래프를 그리는 방법은? 답변: plt.bar() 함수를 사용하여 막대 그래프를 그릴 수 있습니다. 예를 들어, 'plt.bar(x, height)'와 같이 사용합니다. x는 막대의 위치, height는 막대의 높이입니다."
Data Visualization,"Q8. Seaborn에서 데이터프레임의 쌍플롯(pairplot)을 그리는 방법은? 답변: sns.pairplot() 함수를 사용하여 쌍플롯을 그릴 수 있습니다. 예를 들어, 'sns.pairplot(df)'와 같이 사용합니다. df는 데이터프레임입니다."
Data Visualization,"Q9. Matplotlib에서 그래프의 범례를 추가하는 방법은? 답변: plt.legend() 함수를 사용하여 그래프의 범례를 추가할 수 있습니다. 예를 들어, 'plt.legend(['Label 1', 'Label 2'])'와 같이 사용합니다."
Data Visualization,"Q10. Seaborn에서 카운트플롯을 그리는 방법은? 답변: sns.countplot() 함수를 사용하여 카운트플롯을 그릴 수 있습니다. 예를 들어, 'sns.countplot(x='column_name', data=df)'와 같이 사용합니다."
Data Visualization,"Q11. Matplotlib에서 그래프의 색상을 변경하는 방법은? 답변: plt.plot() 또는 plt.scatter() 등의 함수에 color 매개변수를 사용하여 그래프의 색상을 변경할 수 있습니다. 예를 들어, 'plt.plot(x, y, color='red')'와 같이 사용합니다."
Data Visualization,"Q12. Seaborn에서 히트맵을 그리는 방법은? 답변: sns.heatmap() 함수를 사용하여 히트맵을 그릴 수 있습니다. 예를 들어, 'sns.heatmap(data=df.corr())'와 같이 사용합니다. df.corr()은 데이터프레임의 상관 행렬입니다."
Data Visualization,"Q13. Matplotlib에서 그래프의 스타일을 변경하는 방법은? 답변: plt.style.use() 함수를 사용하여 그래프의 스타일을 변경할 수 있습니다. 예를 들어, 'plt.style.use('ggplot')'와 같이 사용합니다."
Data Visualization,"Q14. Seaborn에서 KDE플롯을 그리는 방법은? 답변: sns.kdeplot() 함수를 사용하여 KDE플롯을 그릴 수 있습니다. 예를 들어, 'sns.kdeplot(data=df['column_name'], shade=True)'와 같이 사용합니다."
Data Visualization,"Q15. Matplotlib에서 그래프의 크기를 설정하는 방법은? 답변: plt.figure() 함수를 사용하여 그래프의 크기를 설정할 수 있습니다. 예를 들어, 'plt.figure(figsize=(10, 6))'와 같이 사용합니다."
Data Visualization,"Q16. Seaborn에서 바플롯을 그리는 방법은? 답변: sns.barplot() 함수를 사용하여 바플롯을 그릴 수 있습니다. 예를 들어, 'sns.barplot(x='category', y='value', data=df)'와 같이 사용합니다."
Data Visualization,"Q17. Matplotlib에서 그래프의 축 눈금을 설정하는 방법은? 답변: plt.xticks()와 plt.yticks() 함수를 사용하여 그래프의 축 눈금을 설정할 수 있습니다. 예를 들어, 'plt.xticks(ticks=range(0, 10, 2))'와 같이 사용합니다."
Data Visualization,"Q18. Seaborn에서 바이올린플롯을 그리는 방법은? 답변: sns.violinplot() 함수를 사용하여 바이올린플롯을 그릴 수 있습니다. 예를 들어, 'sns.violinplot(x='category', y='value', data=df)'와 같이 사용합니다."
Data Visualization,"Q19. Matplotlib에서 그래프를 파일로 저장하는 방법은? 답변: plt.savefig() 함수를 사용하여 그래프를 파일로 저장할 수 있습니다. 예를 들어, 'plt.savefig('filename.png')'와 같이 사용합니다."
Data Visualization,"Q20. Seaborn에서 페이싯그리드를 사용하는 방법은? 답변: sns.FacetGrid() 함수를 사용하여 페이싯그리드를 만들 수 있습니다. 예를 들어, 'g = sns.FacetGrid(df, col='category')'와 같이 사용하고, 'g.map(sns.histplot, 'value')'로 각 페이싯에 히스토그램을 그릴 수 있습니다."

Univariate Analysis,"Q1. 단변량 분석(Univariate Analysis)이란 무엇인가요? 답변: 단변량 분석은 단일 변수의 분포와 특성을 분석하는 기법입니다. 주로 평균, 중앙값, 최빈값, 분산, 표준편차, 히스토그램, 박스플롯 등을 사용하여 데이터를 이해합니다."
Univariate Analysis,"Q2. 평균과 중앙값의 차이는 무엇인가요? 답변: 평균은 모든 값을 더한 후 값의 개수로 나눈 값이고, 중앙값은 값들을 크기 순으로 정렬했을 때 중앙에 위치한 값입니다. 평균은 극단값에 민감하지만, 중앙값은 그렇지 않습니다."
Univariate Analysis,"Q3. 히스토그램이란 무엇인가요? 답변: 히스토그램은 데이터의 분포를 시각적으로 나타내는 도구로, 데이터를 구간(bin)으로 나누어 각 구간의 빈도수를 막대로 표현합니다."
Univariate Analysis,"Q4. 박스플롯(Boxplot)이란 무엇인가요? 답변: 박스플롯은 데이터의 사분위수를 이용해 데이터 분포를 시각화하는 도구입니다. 중앙값, 1사분위수, 3사분위수, 그리고 이상치를 시각적으로 표현합니다."
Univariate Analysis,"Q5. 분산과 표준편차의 차이는 무엇인가요? 답변: 분산은 데이터 값들이 평균으로부터 얼마나 떨어져 있는지를 나타내는 값의 제곱의 평균이고, 표준편차는 분산의 제곱근으로, 데이터 분포의 흩어짐 정도를 나타냅니다."
Univariate Analysis,"Q6. 왜도(Skewness)란 무엇인가요? 답변: 왜도는 데이터 분포의 비대칭성을 나타내는 지표입니다. 왜도가 0이면 대칭분포, 양수이면 오른쪽으로 긴 꼬리, 음수이면 왼쪽으로 긴 꼬리를 갖습니다."
Univariate Analysis,"Q7. 첨도(Kurtosis)란 무엇인가요? 답변: 첨도는 데이터 분포의 뾰족한 정도를 나타내는 지표입니다. 첨도가 높으면 뾰족한 분포, 낮으면 평평한 분포를 의미합니다."
Univariate Analysis,"Q8. 범주형 데이터의 단변량 분석 방법은? 답변: 범주형 데이터는 주로 도수분포표, 막대그래프, 파이차트 등을 사용하여 분석합니다. 각 범주의 빈도와 비율을 계산하여 시각적으로 표현합니다."
Univariate Analysis,"Q9. 수치형 데이터의 단변량 분석 방법은? 답변: 수치형 데이터는 히스토그램, 박스플롯, QQ플롯 등을 사용하여 분석합니다. 또한 평균, 중앙값, 최빈값, 분산, 표준편차 등을 계산하여 데이터의 중심 경향성과 변동성을 파악합니다."
Univariate Analysis,"Q10. 데이터의 이상치(Outlier)를 탐지하는 방법은? 답변: 이상치는 박스플롯, Z-스코어, IQR(Interquartile Range) 방법 등을 사용하여 탐지할 수 있습니다. 일반적으로 데이터 분포에서 벗어난 값들을 이상치로 간주합니다."
Univariate Analysis,"Q11. 히스토그램의 구간(bin)을 설정하는 방법은? 답변: 히스토그램의 구간은 데이터의 범위와 분포에 따라 설정할 수 있으며, Sturges' formula, Freedman-Diaconis rule 등을 이용해 적절한 구간 수를 결정할 수 있습니다."
Univariate Analysis,"Q12. 중앙값(Median)이 유용한 경우는? 답변: 중앙값은 데이터의 극단값에 영향을 받지 않으므로, 이상치가 있는 데이터나 비대칭 분포를 가진 데이터에서 유용합니다."
Univariate Analysis,"Q13. 수치형 데이터의 분포를 시각화하는 다른 방법은? 답변: 히스토그램 외에도 커널 밀도 추정(KDE) 그래프, 빈 플롯(Bin plot), 바이올린 플롯(Violin plot) 등이 있습니다."
Univariate Analysis,"Q14. Z-스코어란 무엇인가요? 답변: Z-스코어는 데이터 값이 평균으로부터 얼마나 떨어져 있는지를 표준편차 단위로 나타낸 값입니다. 이상치를 탐지하거나 데이터 표준화에 사용됩니다."
Univariate Analysis,"Q15. QQ플롯이란 무엇인가요? 답변: QQ플롯은 데이터의 분포가 특정 분포(예: 정규분포)를 따르는지 확인하는 시각화 도구입니다. 데이터의 분위수와 이론적 분포의 분위수를 비교하여 분포의 일치 정도를 나타냅니다."
Bivariate Analysis,"Q16. 이변량 분석(Bivariate Analysis)이란 무엇인가요? 답변: 이변량 분석은 두 변수 간의 관계를 분석하는 기법입니다. 상관분석, 교차분석, 산점도, 로지스틱 회귀 등 다양한 방법을 사용하여 변수 간의 상호작용을 파악합니다."
Bivariate Analysis,"Q17. 상관계수(Correlation Coefficient)란 무엇인가요? 답변: 상관계수는 두 변수 간의 선형 관계의 강도와 방향을 나타내는 지표입니다. 피어슨 상관계수가 가장 일반적으로 사용되며, 값은 -1에서 1 사이입니다."
Bivariate Analysis,"Q18. 산점도(Scatter Plot)란 무엇인가요? 답변: 산점도는 두 변수 간의 관계를 시각적으로 나타내는 그래프로, 각각의 점이 두 변수의 값을 나타냅니다. 변수 간의 상관관계를 직관적으로 파악할 수 있습니다."
Bivariate Analysis,"Q19. 피어슨 상관계수와 스피어만 상관계수의 차이는 무엇인가요? 답변: 피어슨 상관계수는 두 변수 간의 선형 관계를 측정하며, 스피어만 상관계수는 순위(서열) 간의 관계를 측정합니다. 스피어만 상관계수는 비선형 관계에서도 사용할 수 있습니다."
Bivariate Analysis,"Q20. 교차분석(Cross-tabulation)이란 무엇인가요? 답변: 교차분석은 두 범주형 변수 간의 관계를 분석하는 방법으로, 교차표를 통해 각 범주의 빈도와 비율을 확인합니다. chi-square 검정을 통해 통계적 유의성을 확인할 수 있습니다."
Bivariate Analysis,"Q21. 회귀분석(Regression Analysis)이란 무엇인가요? 답변: 회귀분석은 한 변수(종속변수)를 다른 변수(독립변수)로 설명하는 분석 기법입니다. 단순회귀분석과 다중회귀분석이 있으며, 변수 간의 인과관계를 분석합니다."
Bivariate Analysis,"Q22. 단순회귀분석(Simple Linear Regression)이란 무엇인가요? 답변: 단순회귀분석은 한 개의 독립변수와 한 개의 종속변수 간의 선형 관계를 분석하는 방법입니다. 회귀식은 y = ax + b 형태로 표현됩니다."
Bivariate Analysis,"Q23. 다중회귀분석(Multiple Linear Regression)이란 무엇인가요? 답변: 다중회귀분석은 여러 개의 독립변수를 사용하여 종속변수를 설명하는 분석 기법입니다. 회귀식은 y = a1x1 + a2x2 + ... + b 형태로 표현됩니다."
Bivariate Analysis,"Q24. 로지스틱 회귀분석(Logistic Regression)이란 무엇인가요? 답변: 로지스틱 회귀분석은 종속변수가 이분형(예: 성공/실패)인 경우에 사용하는 회귀분석 기법입니다. 결과는 로짓 함수(logit function)를 사용하여 예측됩니다."
Bivariate Analysis,"Q25. 시계열 데이터의 이변량 분석 방법은? 답변: 시계열 데이터의 이변량 분석은 교차상관함수(CCF)와 같은 방법을 사용하여 두 시계열 간의 상관성을 분석합니다. 시차(lag)를 고려한 분석이 필요합니다."
Bivariate Analysis,"Q26. 카이제곱 검정(Chi-Square Test)이란 무엇인가요? 답변: 카이제곱 검정은 두 범주형 변수 간의 독립성을 검정하는 방법입니다. 교차표를 통해 기대빈도와 관찰빈도를 비교하여 변수 간의 관계를 검정합니다."
